id,word,part_of_speech,difficulty_score,meaning_1,meaning_2,meaning_3
169,need,verb,161,必要とする,,
170,feel,verb,162,感じる,,
171,become,verb,163,〜になる,,
172,leave,verb,163,去る,残す,
173,put,verb,164,置く,入れる,
174,mean,verb,165,意味する,つもりである,
175,keep,verb,166,保つ,持ち続ける,
176,let,verb,167,させる,許す,
177,begin,verb,168,始める,,
178,seem,verb,169,〜のように見える,思える,
179,help,verb,170,助ける,手伝う,
180,talk,verb,171,話す,語る,
181,turn,verb,172,曲がる,回す,変わる
182,start,verb,172,始める,開始する,
183,hear,verb,174,聞く,耳にする,
184,play,verb,175,遊ぶ,演奏する,
185,run,verb,176,走る,運営する,
186,move,verb,177,動く,移動する,
187,like,verb,178,好き,好む,
188,live,verb,179,住む,生きる,
189,believe,verb,180,信じる,,
190,hold,verb,181,持つ,開催する,
191,bring,verb,181,持ってくる,もたらす,
192,happen,verb,182,起こる,生じる,
193,write,verb,183,書く,記入する,
194,provide,verb,184,提供する,供給する,
195,sit,verb,185,座る,,
196,stand,verb,186,立つ,耐える,
197,lose,verb,187,失う,負ける,
198,pay,verb,188,支払う,払う,
199,meet,verb,189,会う,満たす,
200,include,verb,190,含む,含める,
201,continue,verb,190,続ける,継続する,
202,apple,noun,231,リンゴ,アップル,
203,dog,noun,232,犬,ワンちゃん,
204,cat,noun,233,猫,ネコ,
205,fish,noun,234,魚,フィッシュ,
206,food,noun,235,食べ物,食品,
207,bottle,noun,236,ボトル,瓶,
208,chair,noun,237,椅子,チェア,
209,computer,noun,238,コンピュータ,パソコン,
210,phone,noun,239,電話,スマホ,
211,train,noun,239,列車,電車,
212,bus,noun,240,バス,乗り合いバス,
213,airplane,noun,241,飛行機,エアプレーン,
214,song,noun,242,歌,曲,
215,movie,noun,243,映画,ムービー,
216,sport,noun,244,スポーツ,競技,
217,camera,noun,245,カメラ,写真機,
218,ball,noun,246,ボール,球,
219,letter,noun,247,手紙,文字,
220,box,noun,248,箱,ボックス,
221,bag,noun,248,バッグ,かばん,
222,hat,noun,249,帽子,ハット,
223,coat,noun,250,コート,上着,
224,dress,noun,251,ドレス,ワンピース,
225,shirt,noun,252,シャツ,,
226,pants,noun,253,ズボン,パンツ,
227,shoes,noun,254,靴,シューズ,
228,bed,noun,255,ベッド,寝台,
229,pillow,noun,256,枕,ピロー,
230,blanket,noun,257,毛布,ブランケット,
231,knife,noun,257,ナイフ,包丁,
232,fork,noun,258,フォーク,,
233,spoon,noun,259,スプーン,,
234,plate,noun,260,皿,プレート,
235,cup,noun,261,カップ,茶碗,
236,glass,noun,262,グラス,ガラス,
237,tea,noun,263,お茶,紅茶,
238,coffee,noun,264,コーヒー,,
239,milk,noun,265,牛乳,ミルク,
240,bread,noun,266,パン,ブレッド,
241,rice,noun,266,米,ご飯,
242,fruit,noun,267,果物,フルーツ,
243,vegetable,noun,268,野菜,ベジタブル,
244,meat,noun,269,肉,ミート,
245,soup,noun,270,スープ,汁物,
246,cake,noun,271,ケーキ,,
247,cookie,noun,272,クッキー,焼き菓子,
248,chocolate,noun,273,チョコレート,,
249,sugar,noun,274,砂糖,シュガー,
250,salt,noun,275,塩,,
251,oil,noun,275,油,オイル,
252,butter,noun,276,バター,,
253,cheese,noun,277,チーズ,,
254,tomato,noun,278,トマト,,
255,potato,noun,279,ジャガイモ,ポテト,
256,onion,noun,280,玉ねぎ,オニオン,
257,garlic,noun,281,ニンニク,ガーリック,
258,doctor,noun,282,医者,ドクター,
259,nurse,noun,283,看護師,ナース,
260,firefighter,noun,284,消防士,,
261,soldier,noun,285,兵士,軍人,
262,worker,noun,286,労働者,働く人,
263,farmer,noun,287,農家,農夫,
264,chef,noun,288,シェフ,料理人,
265,singer,noun,289,歌手,シンガー,
266,actor,noun,290,俳優,役者,
267,driver,noun,291,運転手,ドライバー,
268,engineer,noun,292,エンジニア,技術者,
269,king,noun,293,王,キング,
270,queen,noun,293,女王,クイーン,
271,prince,noun,294,王子,プリンス,
272,princess,noun,295,王女,プリンセス,
273,brother,noun,296,兄弟,兄,弟
274,sister,noun,297,姉妹,姉,妹
275,uncle,noun,298,おじ,叔父,
276,aunt,noun,299,おば,叔母,
277,cousin,noun,300,いとこ,従兄弟,
278,neighbor,noun,301,隣人,ご近所さん,
279,adult,noun,302,大人,成人,
280,teen,noun,302,ティーン,十代の若者,
281,childhood,noun,303,子供時代,幼少期,
282,go,verb,264,行く,,
283,come,verb,265,来る,,
284,see,verb,266,見る,会う,
285,look,verb,267,見る,見つめる,
286,watch,verb,268,見る,観る,
287,listen,verb,269,聞く,聴く,
288,say,verb,271,言う,述べる,
289,tell,verb,271,伝える,話す,
290,ask,verb,272,尋ねる,頼む,
291,answer,verb,273,答える,返事する,
292,call,verb,274,呼ぶ,電話する,
293,draw,verb,276,描く,スケッチする,
294,paint,verb,277,塗る,描く,
295,read,verb,278,読む,読書する,
296,learn,verb,280,学ぶ,覚える,
297,jump,verb,280,跳ぶ,ジャンプする,
298,swim,verb,281,泳ぐ,,
299,drive,verb,282,運転する,車で行く,
300,ride,verb,283,乗る,乗車する,
301,fly,verb,284,飛ぶ,飛行する,
302,cook,verb,285,料理する,調理する,
303,eat,verb,286,食べる,,
304,drink,verb,287,飲む,,
305,sleep,verb,288,眠る,睡眠をとる,
306,wake,verb,289,目覚める,起こす,
307,get,verb,289,得る,手に入れる,
308,have,verb,290,持つ,食べる,
309,give,verb,291,与える,あげる,
310,take,verb,292,取る,持っていく,
311,make,verb,293,作る,作成する,
312,build,verb,294,建てる,作り上げる,
313,fix,verb,295,修理する,直す,
314,clean,verb,296,掃除する,きれいにする,
315,wash,verb,297,洗う,洗濯する,
316,open,verb,298,開ける,開く,
317,close,verb,298,閉じる,閉める,
318,push,verb,299,押す,プッシュする,
319,lift,verb,300,持ち上げる,上げる,
320,carry,verb,301,運ぶ,持ち歩く,
321,throw,verb,302,投げる,,
322,catch,verb,303,捕まえる,つかむ,
323,wear,verb,306,着る,身につける,
324,finish,verb,307,終える,完了する,
325,big,adjective,392,大きい,ビッグ,
326,small,adjective,393,小さい,スモール,
327,long,adjective,394,長い,ロング,
328,short,adjective,395,短い,ショート,
329,tall,adjective,396,背が高い,高い,
330,young,adjective,396,若い,ヤング,
331,old,adjective,397,古い,年老いた,
332,new,adjective,398,新しい,ニュー,
333,cold,adjective,399,寒い,冷たい,
334,hot,adjective,400,暑い,熱い,
335,warm,adjective,401,温かい,暖かい,
336,cool,adjective,402,涼しい,かっこいい,
337,good,adjective,403,良い,グッド,
338,bad,adjective,404,悪い,バッド,
339,happy,adjective,405,幸せな,うれしい,
340,sad,adjective,405,悲しい,サッド,
341,angry,adjective,406,怒っている,腹を立てた,
342,tired,adjective,407,疲れた,,
343,funny,adjective,408,面白い,おかしい,
344,important,adjective,409,重要な,大切な,
345,basic,adjective,410,基本的な,ベーシック,
346,simple,adjective,411,簡単な,シンプル,
347,easy,adjective,412,易しい,簡単な,
348,difficult,adjective,413,難しい,困難な,
349,hard,adjective,414,硬い,難しい,
350,heavy,adjective,415,重い,ヘビー,
351,wet,adjective,416,濡れた,湿った,
352,dry,adjective,417,乾いた,ドライ,
353,dirty,adjective,419,汚れた,ダーティ,
354,bright,adjective,420,明るい,輝かしい,
355,dark,adjective,421,暗い,ダーク,
356,loud,adjective,422,うるさい,大きな音の,
357,quiet,adjective,423,静かな,クワイエット,
358,strong,adjective,423,強い,ストロング,
359,weak,adjective,424,弱い,ウィーク,
360,rich,adjective,425,裕福な,リッチ,
361,poor,adjective,426,貧しい,プア,
362,smart,adjective,427,賢い,スマート,
363,slow,adjective,428,遅い,スロー,
364,fast,adjective,429,速い,ファスト,
365,early,adjective,430,早い,初期の,
366,late,adjective,431,遅い,遅れた,
367,busy,adjective,432,忙しい,ビジー,
368,free,adjective,432,自由な,無料の,
369,closed,adjective,434,閉じた,クローズド,
370,left,adjective,436,左の,レフト,
371,wrong,adjective,437,間違った,誤りの,
372,slowly,adverb,458,ゆっくりと,徐々に,
373,quickly,adverb,459,素早く,急いで,
374,quietly,adverb,460,静かに,そっと,
375,loudly,adverb,461,大声で,騒々しく,
376,easily,adverb,461,簡単に,容易に,
377,hardly,adverb,462,ほとんど〜ない,かろうじて,
378,well,adverb,463,上手に,よく,
379,badly,adverb,464,ひどく,悪く,
380,here,adverb,465,ここで,,
381,there,adverb,466,そこに,あそこで,
382,everywhere,adverb,467,どこでも,至る所で,
383,nowhere,adverb,468,どこにも〜ない,どこにも,
384,up,adverb,469,上へ,上がって,
385,down,adverb,470,下へ,下に,
386,inside,adverb,470,内側に,屋内で,
387,outside,adverb,471,外で,外側に,
388,today,adverb,472,今日,本日,
389,tomorrow,adverb,473,明日,翌日,
390,yesterday,adverb,474,昨日,前日,
391,now,adverb,475,今,現在,
392,later,adverb,476,後で,のちほど,
393,before,adverb,477,前に,以前に,
394,after,adverb,478,後で,後に,
395,always,adverb,479,いつも,常に,
396,usually,adverb,479,たいてい,普通は,
397,often,adverb,480,しばしば,よく,
398,sometimes,adverb,481,時々,たまに,
399,rarely,adverb,482,めったに〜ない,まれに,
400,never,adverb,483,決して〜ない,一度も〜ない,
401,already,adverb,484,すでに,もう,
402,yet,adverb,485,まだ,それでも,
403,still,adverb,486,まだ,それでも,
404,soon,adverb,487,すぐに,まもなく,
405,again,adverb,488,再び,もう一度,
406,maybe,adverb,488,たぶん,もしかすると,
407,nearly,adverb,489,ほとんど,ほぼ,
408,above,preposition,310,〜の上に,上方に,
409,below,preposition,311,〜の下に,下方に,
410,under,preposition,312,〜の下に,下で,
411,over,preposition,313,〜の上に,超えて,
412,between,preposition,314,〜の間に,間で,
413,among,preposition,315,〜の中で,〜の間で,
414,near,preposition,316,近くに,近い,
415,far,preposition,317,遠くに,遠い,
416,to,preposition,317,〜へ,〜に,
417,from,preposition,318,〜から,,
418,by,preposition,319,〜によって,〜のそばで,
419,through,preposition,320,〜を通して,〜を通じて,
420,around,preposition,321,周りに,およそ,
421,across,preposition,322,〜を横切って,向こう側に,
422,and,conjunction,343,そして,〜と〜,
423,or,conjunction,344,または,それとも,
424,but,conjunction,345,しかし,でも,
425,so,conjunction,346,だから,それで,
426,because,conjunction,346,なぜなら,〜だから,
427,if,conjunction,347,もし〜なら,,
428,when,conjunction,348,〜のとき,いつ,
429,while,conjunction,349,〜の間,一方で,
430,although,conjunction,350,〜だけれども,とはいえ,
431,since,conjunction,351,〜なので,〜以来,
432,until,conjunction,352,〜まで,〜するまで,
433,unless,conjunction,353,〜でない限り,もし〜でなければ,
434,set,verb,415,設定する,置く,固める
435,lead,verb,417,導く,案内する,
436,understand,verb,418,理解する,わかる,
437,follow,verb,420,従う,ついて行く,
438,stop,verb,421,止める,やめる,
439,create,verb,422,創造する,作り出す,
440,speak,verb,423,話す,しゃべる,
441,allow,verb,424,許す,認める,
442,add,verb,425,加える,足す,
443,spend,verb,426,使う,費やす,
444,grow,verb,427,育つ,増える,
445,walk,verb,429,歩く,散歩する,
446,win,verb,430,勝つ,獲得する,
447,offer,verb,431,提供する,申し出る,
448,remember,verb,432,覚えている,思い出す,
449,love,verb,433,愛する,大好き,
450,consider,verb,433,考慮する,熟考する,
451,appear,verb,434,現れる,見える,
452,buy,verb,435,買う,購入する,
453,wait,verb,436,待つ,,
454,serve,verb,437,仕える,提供する,
455,die,verb,438,死ぬ,亡くなる,
456,send,verb,439,送る,発送する,
457,expect,verb,440,期待する,予期する,
458,stay,verb,442,滞在する,留まる,
459,fall,verb,442,落ちる,倒れる,
460,cut,verb,443,切る,削減する,
461,reach,verb,444,到達する,届く,
462,kill,verb,445,殺す,駆除する,
463,remain,verb,446,残る,留まる,
464,suggest,verb,447,提案する,示唆する,
465,raise,verb,448,上げる,育てる,
466,pass,verb,449,通る,合格する,渡す
467,sell,verb,450,売る,販売する,
468,require,verb,451,要求する,必要とする,
469,decide,verb,452,決める,決定する,
470,pull,verb,453,引く,引っ張る,
471,return,verb,454,戻る,返す,
472,explain,verb,455,説明する,解説する,
473,hope,verb,456,望む,願う,
474,develop,verb,457,発展させる,開発する,
475,break,verb,459,壊す,割る,
476,ability,noun,1001,能力,,
477,absence,noun,1002,不在,,
478,access,noun,1003,アクセス,,
479,accident,noun,1004,事故,,
480,account,noun,1005,口座／説明,,
481,addition,noun,1007,追加,,
482,advantage,noun,1008,利点,,
483,advice,noun,1009,助言,,
484,agency,noun,1010,機関,,
485,agent,noun,1011,代理人,,
486,agreement,noun,1013,合意,,
487,applyion,noun,1014,適用/応募,,
488,arguion,noun,1015,議論,,
489,assistion,noun,1016,援助,,
490,avoidion,noun,1017,回避,,
491,benefition,noun,1019,利益,,
492,causion,noun,1020,原因,,
493,claimion,noun,1021,主張,,
494,comparion,noun,1022,比較,,
495,competion,noun,1023,競争,,
496,completion,noun,1025,完成,,
497,confirmion,noun,1026,確認,,
498,considerion,noun,1027,考慮,,
499,containion,noun,1028,内容物,,
500,continuion,noun,1029,継続,,
501,controlion,noun,1031,制御,,
502,creation,noun,1032,創造,,
503,decidion,noun,1033,決定,,
504,definion,noun,1034,定義,,
505,deliverion,noun,1035,配達,,
506,demandion,noun,1037,需要/要求,,
507,dependion,noun,1038,依存,,
508,describion,noun,1039,記述,,
509,designion,noun,1040,設計,,
510,determinion,noun,1041,決定,,
511,developion,noun,1043,発達,,
512,differion,noun,1044,違い,,
513,discussion,noun,1045,議論,,
514,dividion,noun,1046,分割,,
515,encouragion,noun,1047,励まし,,
516,ensurion,noun,1049,保証,,
517,establishion,noun,1050,設立,,
518,estimation,noun,1051,推定,,
519,examinion,noun,1052,試験,,
520,existion,noun,1053,存在,,
521,expection,noun,1055,期待,,
522,explainion,noun,1056,説明,,
523,explorion,noun,1057,探検,,
524,expression,noun,1058,表現,,
525,extendion,noun,1059,延長,,
526,focusion,noun,1061,焦点,,
527,gainion,noun,1062,利益,,
528,identifyion,noun,1063,身元/同一性,,
529,imaginion,noun,1064,想像,,
530,improvion,noun,1065,改善,,
531,indication,noun,1067,指示,,
532,influencion,noun,1068,影響,,
533,informion,noun,1069,情報,,
534,intendion,noun,1070,意図,,
535,introducion,noun,1071,導入,,
536,involvion,noun,1073,関与,,
537,leadion,noun,1074,主導,,
538,maintainion,noun,1075,維持,,
539,measurion,noun,1076,測定,,
540,mentionion,noun,1077,言及,,
541,observion,noun,1079,観察,,
542,obtainion,noun,1080,獲得,,
543,occurion,noun,1081,発生,,
544,offerion,noun,1082,提案,,
545,operation,noun,1083,運用,,
546,organizion,noun,1085,組織,,
547,participation,noun,1086,参加,,
548,performion,noun,1087,実行,,
549,preparion,noun,1088,準備,,
550,presention,noun,1089,発表,,
551,prevention,noun,1091,予防,,
552,procession,noun,1092,過程,,
553,producion,noun,1093,生産,,
554,protection,noun,1094,保護,,
555,providion,noun,1095,供給,,
556,publishion,noun,1097,出版,,
557,raision,noun,1098,上昇/調達,,
558,reachion,noun,1099,到達,,
559,realizion,noun,1100,実現,,
560,recommendion,noun,1101,推薦,,
561,reducion,noun,1103,削減,,
562,referion,noun,1104,言及,,
563,reflection,noun,1105,反映,,
564,relation,noun,1106,関係,,
565,remainion,noun,1107,残り,,
566,removion,noun,1109,除去,,
567,replacion,noun,1110,交換,,
568,replyion,noun,1111,返答,,
569,reportion,noun,1112,報告,,
570,requirion,noun,1113,必要条件,,
571,respondion,noun,1115,反応,,
572,resultion,noun,1116,結果,,
573,revealion,noun,1117,暴露,,
574,savion,noun,1118,貯蓄,,
575,searchion,noun,1119,捜索,,
576,selection,noun,1121,選択,,
577,servion,noun,1122,奉仕,,
578,sharion,noun,1123,共有,,
579,solvion,noun,1124,解決,,
580,station,noun,1125,状態/国家,,
581,supplyion,noun,1127,供給,,
582,supportion,noun,1128,支援,,
583,supposion,noun,1129,想定,,
584,tendion,noun,1130,傾向,,
585,testion,noun,1131,試験,,
586,treation,noun,1133,治療,,
587,trustion,noun,1134,信頼,,
588,understandion,noun,1135,理解,,
589,usion,noun,1136,使用,,
590,valuion,noun,1137,価値,,
591,varyion,noun,1139,変化,,
592,visition,noun,1140,訪問,,
593,waition,noun,1141,待機,,
594,wishion,noun,1142,願い,,
595,writion,noun,1143,書き込み,,
596,accept,verb,1145,受け入れる,,
597,achieve,verb,1146,達成する,,
598,act,verb,1147,行動する,,
599,address,verb,1148,対処する/呼びかける,,
600,advance,verb,1149,前進する,,
601,affect,verb,1151,影響を与える,,
602,agree,verb,1152,同意する,,
603,apply,verb,1153,応募する/適用する,,
604,argue,verb,1154,主張する/論じる,,
605,assist,verb,1155,援助する,,
606,avoid,verb,1157,避ける,,
607,benefit,verb,1158,利益を得る,,
608,cause,verb,1159,引き起こす,,
609,claim,verb,1160,主張する,,
610,compare,verb,1161,比較する,,
611,compete,verb,1163,競争する,,
612,complete,verb,1164,完了する,,
613,confirm,verb,1165,確認する,,
614,contain,verb,1166,含む,,
615,define,verb,1167,定義する,,
616,deliver,verb,1169,配達する,,
617,demand,verb,1170,要求する,,
618,depend,verb,1171,頼る,,
619,describe,verb,1172,描写する,,
620,design,verb,1173,設計する,,
621,determine,verb,1175,決定する/特定する,,
622,differ,verb,1176,異なる,,
623,discuss,verb,1177,議論する,,
624,divide,verb,1178,分ける,,
625,encourage,verb,1179,励ます/促す,,
626,ensure,verb,1181,確実にする,,
627,establish,verb,1182,設立する,,
628,estimate,verb,1183,見積もる/推定する,,
629,examine,verb,1184,調べる,,
630,exist,verb,1185,存在する,,
631,explore,verb,1187,探検/探究する,,
632,express,verb,1188,表現する,,
633,extend,verb,1189,延長する/広げる,,
634,focus,verb,1190,集中する/焦点を当てる,,
635,gain,verb,1191,得る,,
636,identify,verb,1193,識別する,,
637,imagine,verb,1194,想像する,,
638,improve,verb,1195,改善する,,
639,indicate,verb,1196,示す,,
640,influence,verb,1197,影響を与える,,
641,inform,verb,1199,知らせる,,
642,intend,verb,1200,意図する,,
643,introduce,verb,1201,紹介/導入する,,
644,involve,verb,1202,関与させる,,
645,maintain,verb,1203,維持する,,
646,measure,verb,1205,測る,,
647,mention,verb,1206,言及する,,
648,observe,verb,1207,観察する,,
649,obtain,verb,1208,得る/獲得する,,
650,occur,verb,1209,起こる,,
651,operate,verb,1211,作動する/運営する,,
652,organize,verb,1212,組織する,,
653,participate,verb,1213,参加する,,
654,perform,verb,1214,遂行する/演じる,,
655,prepare,verb,1215,準備する,,
656,present,verb,1217,提示する/発表する,,
657,prevent,verb,1218,防ぐ,,
658,produce,verb,1219,生産する,,
659,protect,verb,1220,保護する,,
660,publish,verb,1221,出版する,,
661,realize,verb,1223,気づく/実現する,,
662,recommend,verb,1224,勧める,,
663,reduce,verb,1225,減らす,,
664,refer,verb,1226,言及する/参照する,,
665,reflect,verb,1227,反映する,,
666,relate,verb,1229,関連づける,,
667,remove,verb,1230,取り除く,,
668,replace,verb,1231,置き換える,,
669,reply,verb,1232,返事する,,
670,respond,verb,1233,応答する,,
671,reveal,verb,1235,明らかにする,,
672,save,verb,1236,救う/節約する,,
673,search,verb,1237,探す,,
674,select,verb,1238,選ぶ/選定する,,
675,share,verb,1239,共有する,,
676,solve,verb,1241,解決する,,
677,supply,verb,1242,供給する,,
678,support,verb,1243,支える/支持する,,
679,suppose,verb,1244,仮定する,,
680,tend,verb,1245,傾向がある,,
681,test,verb,1247,検査する/試す,,
682,treat,verb,1248,扱う/治療する,,
683,trust,verb,1249,信頼する,,
684,vary,verb,1250,変わる,,
685,visit,verb,1251,訪れる,,
686,wish,verb,1253,望む,,
687,academic,adjective,1254,学問の,,
688,accurate,adjective,1255,正確な,,
689,active,adjective,1256,〜の,,
690,actual,adjective,1257,実際の,,
691,additional,adjective,1259,追加の,,
692,afraid,adjective,1260,怖がって,,
693,applyive,adjective,1261,適切な,,
694,arguive,adjective,1262,論争の,,
695,assistive,adjective,1263,補助の,,
696,avoidive,adjective,1265,回避的な,,
697,benefitive,adjective,1266,有益な,,
698,causive,adjective,1267,原因の,,
699,comparive,adjective,1268,比較的な,,
700,competive,adjective,1269,競争的な,,
701,completive,adjective,1271,完全な,,
702,confirmive,adjective,1272,確証の,,
703,considerive,adjective,1273,思慮深い,,
704,containive,adjective,1274,抑制的な,,
705,continuive,adjective,1275,連続の,,
706,controlive,adjective,1277,制御された,,
707,creative,adjective,1278,創造的な,,
708,decidive,adjective,1279,決定的な,,
709,definive,adjective,1280,決定的な,,
710,demandive,adjective,1281,きつい,,
711,dependive,adjective,1283,依存的な,,
712,describive,adjective,1284,記述的な,,
713,designive,adjective,1285,意図的な,,
714,determinive,adjective,1286,決定的な,,
715,developive,adjective,1287,発達した,,
716,differive,adjective,1289,異なる,,
717,discussive,adjective,1290,議論の,,
718,dividive,adjective,1291,分割の,,
719,encouragive,adjective,1292,奨励の,,
720,ensurive,adjective,1293,確実な,,
721,establishive,adjective,1295,確立した,,
722,estimative,adjective,1296,概算の,,
723,examinive,adjective,1297,詳細な,,
724,existive,adjective,1298,既存の,,
725,expective,adjective,1299,期待される,,
726,explainive,adjective,1301,説明的な,,
727,explorive,adjective,1302,探査の,,
728,expressive,adjective,1303,明確な,,
729,extendive,adjective,1304,拡張の,,
730,focusive,adjective,1305,重点的な,,
731,gainive,adjective,1307,有利な,,
732,identifyive,adjective,1308,同一の,,
733,imaginive,adjective,1309,想像上の,,
734,improvive,adjective,1310,改良された,,
735,indicative,adjective,1311,指示的な,,
736,influencive,adjective,1313,影響力のある,,
737,informive,adjective,1314,情報の,,
738,intendive,adjective,1315,意図的な,,
739,introducive,adjective,1316,導入の,,
740,involvive,adjective,1317,巻き込まれた,,
741,leadive,adjective,1319,主要な,,
742,maintainive,adjective,1320,維持された,,
743,measurive,adjective,1321,測定の,,
744,observive,adjective,1322,観察の,,
745,offerive,adjective,1323,提供の,,
746,operative,adjective,1325,運用上の,,
747,organizive,adjective,1326,組織的な,,
748,participative,adjective,1327,参加の,,
749,performive,adjective,1328,実行の,,
750,preparive,adjective,1329,準備された,,
751,presentive,adjective,1331,現在の/提示の,,
752,preventive,adjective,1332,予防の,,
753,processive,adjective,1333,処理の,,
754,producive,adjective,1334,生産的な,,
755,protective,adjective,1335,保護の,,
756,providive,adjective,1337,供給の,,
757,publishive,adjective,1338,公刊の,,
