id,word,part_of_speech,difficulty_score,meaning_1,meaning_2,meaning_3
103,carry,verb,56,運ぶ,,
104,break,verb,56,壊す,壊れる,
105,receive,verb,57,受け取る,,
106,agree,verb,57,同意する,賛成する,
107,support,verb,58,支える,支持する,
108,hit,verb,58,打つ,ぶつかる,
109,produce,verb,59,生産する,生み出す,
110,eat,verb,60,食べる,,
111,cover,verb,60,覆う,カバーする,
112,catch,verb,61,捕まえる,つかむ,
113,draw,verb,61,描く,引く,
114,choose,verb,62,選ぶ,,
115,wait,verb,62,待つ,,
116,fly,verb,63,飛ぶ,,
117,plan,verb,63,計画する,,
118,save,verb,64,救う,節約する,
119,allow,verb,64,許す,可能にする,
120,pull,verb,65,引く,,
121,push,verb,66,押す,,
122,sing,verb,66,歌う,,
123,dance,verb,67,踊る,,
124,cook,verb,67,料理する,,
125,clean,verb,68,掃除する,きれいにする,
126,wash,verb,68,洗う,,
127,wear,verb,69,着ている,身につけている,
128,drive,verb,69,運転する,,
129,ride,verb,70,乗る,,
130,swim,verb,70,泳ぐ,,
131,climb,verb,71,登る,,
132,jump,verb,71,跳ぶ,,
133,laugh,verb,72,笑う,,
134,cry,verb,73,泣く,叫ぶ,
135,smile,verb,73,微笑む,,
136,study,verb,74,勉強する,研究する,
137,enjoy,verb,74,楽しむ,,
138,visit,verb,75,訪れる,訪問する,
139,travel,verb,75,旅行する,,
140,answer,verb,76,答える,,
141,look,verb,76,見る,~に見える,
142,turn,verb,77,回る,曲がる,~になる
143,start,verb,77,始める,始まる,
144,end,verb,78,終わる,終える,
145,join,verb,79,参加する,加わる,
146,sound,verb,79,~に聞こえる,,
147,touch,verb,80,触れる,感動させる,
148,pick,verb,80,選ぶ,摘む,
149,hold,verb,81,持つ,保つ,
150,close,verb,81,閉じる,閉める,
151,talk,verb,82,話す,,
152,listen,verb,82,聞く,,
153,arrive,verb,83,到着する,,
154,care,verb,83,気にかける,世話をする,
155,introduce,verb,84,紹介する,,
156,finish,verb,84,終える,終わる,
157,practice,verb,85,練習する,,
158,prepare,verb,86,準備する,,
159,collect,verb,86,集める,収集する,
160,invite,verb,87,招待する,,
161,thank,verb,87,感謝する,,
162,drop,verb,88,落とす,降ろす,
163,lie,verb,88,横になる,嘘をつく,
164,sit down,verb,89,座る,,
165,stand up,verb,89,立ち上がる,,
166,wake up,verb,90,目を覚ます,,
167,get up,verb,90,起きる,,
168,good,adjective,91,良い,上手な,
169,new,adjective,92,新しい,,
170,first,adjective,92,最初の,第一の,
171,last,adjective,93,最後の,この前の,
172,long,adjective,93,長い,,
173,great,adjective,94,素晴らしい,偉大な,
174,little,adjective,94,小さい,少しの,
175,own,adjective,95,自分自身の,,
176,old,adjective,95,古い,年取った,
177,right,adjective,96,正しい,右の,
178,big,adjective,96,大きい,,
179,high,adjective,97,高い,,
180,different,adjective,97,異なる,違う,
181,small,adjective,98,小さい,,
182,large,adjective,99,大きい,,
183,young,adjective,99,若い,,
184,important,adjective,100,重要な,,
185,few,adjective,100,少しの,ほとんどない,
186,public,adjective,101,公の,公共の,
187,bad,adjective,101,悪い,ひどい,
188,same,adjective,102,同じ,,
189,able,adjective,102,できる,有能な,
190,early,adjective,103,早い,,
191,late,adjective,103,遅い,,
192,hard,adjective,104,難しい,固い,
193,real,adjective,105,本当の,現実の,
194,best,adjective,105,最良の,最高の,
195,sure,adjective,106,確信して,確かな,
196,happy,adjective,106,幸せな,嬉しい,
197,full,adjective,107,いっぱいの,満ちた,
198,hot,adjective,107,暑い,熱い,
199,cold,adjective,108,寒い,冷たい,
200,warm,adjective,108,暖かい,温かい,
201,cool,adjective,109,涼しい,かっこいい,
202,free,adjective,109,自由な,無料の,
203,fine,adjective,110,元気な,素晴らしい,
204,nice,adjective,110,素敵な,良い,
205,busy,adjective,111,忙しい,,
206,tired,adjective,112,疲れた,,
207,sad,adjective,112,悲しい,,
208,angry,adjective,113,怒った,,
209,sick,adjective,113,病気の,気分が悪い,
210,ready,adjective,114,準備ができた,,
211,easy,adjective,114,簡単な,容易な,
212,difficult,adjective,115,難しい,,
213,interesting,adjective,115,興味深い,面白い,
214,beautiful,adjective,116,美しい,,
215,popular,adjective,116,人気のある,大衆的な,
216,famous,adjective,117,有名な,,
217,wonderful,adjective,118,素晴らしい,,
218,special,adjective,118,特別な,,
219,strong,adjective,119,強い,,
220,weak,adjective,119,弱い,,
221,fast,adjective,120,速い,,
222,slow,adjective,120,遅い,,
223,quick,adjective,121,速い,素早い,
224,rich,adjective,121,豊かな,金持ちの,
225,poor,adjective,122,貧しい,かわいそうな,
226,safe,adjective,122,安全な,,
227,dangerous,adjective,123,危険な,,
228,bright,adjective,123,明るい,頭の良い,
229,dark,adjective,124,暗い,,
230,dirty,adjective,125,汚い,,
231,heavy,adjective,125,重い,,
232,light,adjective,126,軽い,明るい,
233,tall,adjective,126,背が高い,高い,
234,short,adjective,127,短い,背が低い,
235,wide,adjective,127,広い,幅の広い,
236,narrow,adjective,128,狭い,,
237,thick,adjective,128,厚い,濃い,
238,thin,adjective,129,薄い,細い,やせた
239,deep,adjective,129,深い,,
240,quiet,adjective,130,静かな,,
241,loud,adjective,131,うるさい,大きな声の,
242,cheap,adjective,131,安い,,
243,expensive,adjective,132,高価な,,
244,kind,adjective,132,親切な,優しい,
245,friendly,adjective,133,親しみやすい,友好的な,
246,brave,adjective,133,勇敢な,,
247,clever,adjective,134,賢い,利口な,
248,wise,adjective,134,賢明な,,
249,silly,adjective,135,愚かな,ばかな,
250,strange,adjective,135,奇妙な,変な,
251,terrible,adjective,136,ひどい,恐ろしい,
252,perfect,adjective,136,完璧な,理想的な,
253,comfortable,adjective,137,快適な,,
254,hungry,adjective,138,空腹の,,
255,thirsty,adjective,138,喉が渇いた,,
256,sleepy,adjective,139,眠い,,
257,lonely,adjective,139,孤独な,寂しい,
258,empty,adjective,140,空の,空っぽの,
259,wet,adjective,140,濡れた,,
260,dry,adjective,141,乾いた,,
261,soft,adjective,141,柔らかい,,
262,sweet,adjective,142,甘い,,
263,sour,adjective,142,酸っぱい,,
264,bitter,adjective,143,苦い,,
265,delicious,adjective,144,おいしい,,
266,fresh,adjective,144,新鮮な,,
267,exciting,adjective,145,わくわくさせる,興奮させる,
268,boring,adjective,145,退屈な,つまらない,
269,fun,adjective,146,楽しい,,
270,serious,adjective,146,真剣な,深刻な,
271,careful,adjective,147,注意深い,慎重な,
272,nervous,adjective,147,緊張した,神経質な,
273,surprised,adjective,148,驚いた,,
274,proud,adjective,148,誇りに思う,自慢する,
275,worried,adjective,149,心配した,,
276,afraid,adjective,149,恐れて,,
277,glad,adjective,150,嬉しい,,
278,sorry,adjective,151,すまないと思う,気の毒に思う,
279,far,adjective,151,遠い,,
280,near,adjective,152,近い,,
281,next,adjective,152,次の,隣の,
282,simple,adjective,153,簡単な,単純な,
283,active,adjective,153,活発な,積極的な,
284,honest,adjective,154,正直な,,
285,polite,adjective,154,礼儀正しい,,
286,rude,adjective,155,失礼な,無礼な,
287,gentle,adjective,155,優しい,穏やかな,
288,wild,adjective,156,野生の,乱暴な,
289,modern,adjective,157,現代の,近代的な,
290,ancient,adjective,157,古代の,,
291,fair,adjective,158,公正な,色白の,
292,equal,adjective,158,等しい,平等な,
293,correct,adjective,159,正しい,,
294,wrong,adjective,159,間違った,,
295,true,adjective,160,本当の,真実の,
296,false,adjective,160,間違った,偽の,
297,possible,adjective,161,可能な,ありえる,
298,impossible,adjective,161,不可能な,ありえない,
299,necessary,adjective,162,必要な,,
300,useful,adjective,162,役に立つ,有用な,
301,useless,adjective,163,役に立たない,無駄な,
302,lucky,adjective,164,幸運な,,
303,unlucky,adjective,164,不運な,,
304,alive,adjective,165,生きている,,
305,dead,adjective,165,死んだ,,
306,noisy,adjective,166,騒がしい,やかましい,
307,pretty,adjective,166,かわいい,きれいな,
308,handsome,adjective,167,ハンサムな,,
309,ugly,adjective,167,醜い,,
310,pleasant,adjective,168,楽しい,快適な,
311,awful,adjective,168,ひどい,恐ろしい,
312,common,adjective,169,一般的な,共通の,
313,rare,adjective,170,まれな,珍しい,
314,usual,adjective,170,いつもの,普通の,
315,unusual,adjective,171,普通でない,異常な,
316,clear,adjective,171,明らかな,晴れた,
317,cloudy,adjective,172,曇った,,
318,sunny,adjective,172,晴れた,,
319,rainy,adjective,173,雨の,,
320,snowy,adjective,173,雪の,,
321,windy,adjective,174,風の強い,,
322,lovely,adjective,174,かわいい,素敵な,
323,tiny,adjective,175,とても小さい,,
324,huge,adjective,175,巨大な,,
325,private,adjective,176,私的な,個人の,
326,certain,adjective,177,確信して,ある,
327,whole,adjective,177,全体の,,
328,natural,adjective,178,自然の,当然の,
329,final,adjective,178,最終的な,,
330,main,adjective,179,主な,,
331,single,adjective,179,ただ一つの,独身の,
332,double,adjective,180,2倍の,,
333,alone,adjective,180,一人で,ただ~だけ,
334,together,adverb,181,一緒に,,
335,complete,adjective,181,完全な,完成した,
336,straight,adjective,182,まっすぐな,,
337,round,adjective,183,丸い,,
338,square,adjective,183,正方形の,四角い,
339,flat,adjective,184,平らな,,
340,exact,adjective,184,正確な,,
341,similar,adjective,185,似ている,,
342,familiar,adjective,185,よく知られた,おなじみの,
343,foreign,adjective,186,外国の,,
344,local,adjective,186,地元の,現地の,
345,national,adjective,187,国家の,国民の,
346,international,adjective,187,国際的な,,
347,global,adjective,188,世界的な,地球規模の,
348,regular,adjective,188,規則的な,定期的な,
349,normal,adjective,189,普通の,正常な,
350,official,adjective,190,公式の,公的な,
351,personal,adjective,190,個人的な,,
352,general,adjective,191,一般的な,全般的な,
353,central,adjective,191,中心の,中央の,
354,medical,adjective,192,医学の,医療の,
355,military,adjective,192,軍の,軍事的な,
356,political,adjective,193,政治の,政治的な,
357,social,adjective,193,社会の,社交的な,
358,cultural,adjective,194,文化の,文化的な,
359,religious,adjective,194,宗教の,宗教的な,
360,scientific,adjective,195,科学の,科学的な,
361,economic,adjective,196,経済の,経済的な,
362,historical,adjective,196,歴史の,歴史的な,
363,physical,adjective,197,身体の,物理的な,
364,mental,adjective,197,精神の,心の,
365,traditional,adjective,198,伝統的な,,
366,professional,adjective,198,専門的な,プロの,
367,industrial,adjective,199,産業の,工業の,
368,educational,adjective,199,教育の,,
369,commercial,adjective,200,商業の,,
370,technical,adjective,200,技術の,専門的な,
371,practical,adjective,201,実際的な,実用的な,
372,theoretical,adjective,201,理論的な,,
373,basic,adjective,202,基本的な,,
374,advanced,adjective,203,進んだ,上級の,
375,complex,adjective,203,複雑な,,
376,various,adjective,204,様々な,いろいろな,
377,several,adjective,204,いくつかの,,
378,many,adjective,205,多くの,,
379,much,adjective,205,多くの,,
380,some,adjective,206,いくつかの,ある,
381,any,adjective,206,何か,いくらかの,
382,all,adjective,207,全ての,,
383,every,adjective,207,すべての,あらゆる,
384,each,adjective,208,それぞれの,各々の,
385,both,adjective,209,両方の,,
386,either,adjective,209,どちらかの,,
387,neither,adjective,210,どちらも~ない,,
388,other,adjective,210,他の,別の,
389,another,adjective,211,もう一つの,別の,
390,such,adjective,211,そのような,,
391,only,adjective,212,唯一の,たった~だけ,
392,time,noun,212,時間,時,回
393,year,noun,213,年,,
394,day,noun,213,日,昼間,
395,way,noun,214,方法,道,
396,man,noun,214,男,人間,
397,thing,noun,215,物,事,
398,woman,noun,216,女性,,
399,life,noun,216,人生,生活,生命
400,child,noun,217,子供,,
401,world,noun,217,世界,,
402,school,noun,218,学校,,
403,hand,noun,218,手,,
404,part,noun,219,部分,,
405,place,noun,219,場所,,
406,case,noun,220,場合,事例,
407,week,noun,220,週,,
408,company,noun,221,会社,,
409,system,noun,222,制度,体系,システム
410,program,noun,222,計画,番組,プログラム
411,question,noun,223,質問,問題,
412,government,noun,223,政府,,
413,number,noun,224,数,番号,
414,night,noun,224,夜,,
415,point,noun,225,点,要点,
416,home,noun,225,家,故郷,
417,water,noun,226,水,,
418,room,noun,226,部屋,余地,
419,mother,noun,227,母,,
420,area,noun,227,地域,分野,
421,money,noun,228,お金,,
422,story,noun,229,物語,階,
423,fact,noun,229,事実,,
424,month,noun,230,月,,
425,book,noun,230,本,,
426,eye,noun,231,目,,
427,job,noun,231,仕事,,
428,word,noun,232,言葉,単語,
429,problem,noun,232,問題,,
430,service,noun,233,サービス,奉仕,
431,hour,noun,233,時間,,
432,game,noun,234,ゲーム,試合,
433,line,noun,235,線,列,
434,member,noun,235,一員,メンバー,
435,power,noun,236,力,権力,電力
436,family,noun,236,家族,,
437,student,noun,237,学生,,
438,group,noun,237,グループ,集団,
439,country,noun,238,国,田舎,
440,minute,noun,238,分,瞬間,
441,father,noun,239,父,,
442,friend,noun,239,友達,,
443,moment,noun,240,瞬間,,
444,teacher,noun,240,教師,先生,
445,city,noun,241,都市,,
446,head,noun,242,頭,長,
447,information,noun,242,情報,,
448,name,noun,243,名前,,
449,business,noun,243,商売,仕事,
450,state,noun,244,状態,州,
451,person,noun,244,人,,
452,reason,noun,245,理由,わけ,
453,idea,noun,245,考え,思いつき,
454,body,noun,246,身体,本体,
455,face,noun,246,顔,面,
456,door,noun,247,ドア,戸,
457,window,noun,248,窓,,
458,table,noun,248,テーブル,表,
459,chair,noun,249,椅子,,
460,car,noun,249,車,,
461,house,noun,250,家,,
462,street,noun,250,通り,,
463,garden,noun,251,庭,,
464,tree,noun,251,木,,
465,flower,noun,252,花,,
466,bird,noun,252,鳥,,
467,dog,noun,253,犬,,
468,cat,noun,254,猫,,
469,horse,noun,254,馬,,
470,fish,noun,255,魚,,
471,food,noun,255,食べ物,,
472,breakfast,noun,256,朝食,,
473,lunch,noun,256,昼食,,
474,dinner,noun,257,夕食,,
475,rice,noun,257,米,ご飯,
476,bread,noun,258,パン,,
477,milk,noun,258,牛乳,,
478,tea,noun,259,お茶,紅茶,
479,coffee,noun,259,コーヒー,,
480,meat,noun,260,肉,,
481,fruit,noun,261,果物,,
482,egg,noun,261,卵,,
483,sugar,noun,262,砂糖,,
484,salt,noun,262,塩,,
485,color,noun,263,色,,
486,white,adjective,263,白い,,
487,black,adjective,264,黒い,,
488,red,adjective,264,赤い,,
489,blue,adjective,265,青い,,
490,green,adjective,265,緑の,,
491,yellow,adjective,266,黄色の,,
492,orange,adjective,267,オレンジ色の,,
493,purple,adjective,267,紫の,,
494,brown,adjective,268,茶色の,,
495,pink,adjective,268,ピンクの,,
496,gray,adjective,269,灰色の,,
497,gold,adjective,269,金色の,,
498,silver,adjective,270,銀色の,,
499,pen,noun,270,ペン,,
500,pencil,noun,271,鉛筆,,
501,paper,noun,271,紙,,
502,bag,noun,272,かばん,袋,
503,box,noun,272,箱,,
504,cup,noun,273,カップ,コップ,
505,glass,noun,274,ガラス,コップ,
506,bottle,noun,274,瓶,ボトル,
507,plate,noun,275,皿,,
508,dish,noun,275,皿,料理,
509,knife,noun,276,ナイフ,,
510,fork,noun,276,フォーク,,
511,spoon,noun,277,スプーン,,
512,bowl,noun,277,ボウル,鉢,
513,clock,noun,278,時計,,
514,phone,noun,278,電話,,
515,computer,noun,279,コンピューター,,
516,television,noun,280,テレビ,,
517,radio,noun,280,ラジオ,,
518,camera,noun,281,カメラ,,
519,picture,noun,281,写真,絵,
520,photo,noun,282,写真,,
521,map,noun,282,地図,,
522,dictionary,noun,283,辞書,,
523,magazine,noun,283,雑誌,,
524,newspaper,noun,284,新聞,,
525,letter,noun,284,手紙,文字,
526,card,noun,285,カード,,
527,ticket,noun,285,切符,チケット,
528,key,noun,286,鍵,キー,
529,umbrella,noun,287,傘,,
530,ball,noun,287,ボール,,
531,toy,noun,288,おもちゃ,,
532,gift,noun,288,贈り物,プレゼント,
533,present,noun,289,プレゼント,贈り物,
534,birthday,noun,289,誕生日,,
535,party,noun,290,パーティー,政党,
536,holiday,noun,290,休日,祝日,
537,vacation,noun,291,休暇,,
538,trip,noun,291,旅行,,
539,tour,noun,292,観光旅行,ツアー,
540,project,noun,293,プロジェクト,計画,
541,report,noun,293,報告,レポート,
542,test,noun,294,テスト,試験,
543,exam,noun,294,試験,,
544,lesson,noun,295,授業,レッスン,
545,class,noun,295,授業,クラス,
546,subject,noun,296,科目,主題,
547,math,noun,296,数学,,
548,science,noun,297,科学,理科,
549,history,noun,297,歴史,,
550,music,noun,298,音楽,,
551,art,noun,298,芸術,美術,
552,language,noun,299,言語,,
553,english,noun,300,英語,,
554,japanese,noun,300,日本語,,
555,grade,noun,301,学年,成績,
556,score,noun,302,得点,スコア,
557,result,noun,302,結果,,
558,mistake,noun,303,間違い,,
559,error,noun,303,誤り,エラー,
560,trouble,noun,304,問題,困難,
561,luck,noun,304,運,,
562,chance,noun,305,機会,可能性,
563,choice,noun,306,選択,,
564,decision,noun,306,決定,,
565,difference,noun,307,違い,差,
566,example,noun,307,例,,
567,experience,noun,308,経験,,
568,knowledge,noun,308,知識,,
569,skill,noun,309,技能,スキル,
570,ability,noun,309,能力,,
571,effort,noun,310,努力,,
572,method,noun,310,方法,,
573,rule,noun,311,規則,ルール,
574,law,noun,311,法律,法則,
575,order,noun,313,順序,命令,注文
576,list,noun,313,リスト,一覧表,
577,sign,noun,314,標識,看板,兆候
578,mark,noun,314,印,記号,点数
579,note,noun,315,メモ,注釈,
580,message,noun,315,メッセージ,伝言,
581,news,noun,316,ニュース,知らせ,
582,event,noun,316,出来事,イベント,
583,accident,noun,317,事故,,
584,fire,noun,317,火,火事,
585,danger,noun,318,危険,,
586,safety,noun,319,安全,,
587,peace,noun,319,平和,,
588,war,noun,320,戦争,,
589,fight,noun,320,戦い,喧嘩,
590,battle,noun,321,戦闘,戦い,
591,pain,noun,321,痛み,苦痛,
592,disease,noun,322,病気,,
593,health,noun,322,健康,,
594,medicine,noun,323,薬,医学,
595,hospital,noun,323,病院,,
596,doctor,noun,324,医者,,
597,nurse,noun,324,看護師,,
598,patient,noun,325,患者,,
599,blood,noun,326,血,,
600,heart,noun,326,心臓,心,
601,brain,noun,327,脳,,
602,arm,noun,327,腕,,
603,leg,noun,328,脚,,
604,foot,noun,328,足,,
605,finger,noun,329,指,,
606,toe,noun,329,つま先,足の指,
607,knee,noun,330,膝,,
608,shoulder,noun,330,肩,,
609,neck,noun,331,首,,
610,back,noun,332,背中,後ろ,
611,stomach,noun,332,胃,お腹,
612,mouth,noun,333,口,,
613,nose,noun,333,鼻,,
614,ear,noun,334,耳,,
615,tooth,noun,334,歯,,
616,hair,noun,335,髪,毛,
617,skin,noun,335,皮膚,肌,
618,bone,noun,336,骨,,
619,voice,noun,336,声,,
620,breath,noun,337,息,,
621,tear,noun,337,涙,,
622,dream,noun,338,夢,,
623,sleep,noun,339,睡眠,,
624,rest,noun,339,休息,,
625,bed,noun,340,ベッド,,
626,pillow,noun,340,枕,,
627,blanket,noun,341,毛布,,
628,sheet,noun,341,シーツ,紙,
629,towel,noun,342,タオル,,
630,soap,noun,342,石鹸,,
631,brush,noun,343,ブラシ,,
632,mirror,noun,343,鏡,,
633,clothes,noun,344,服,,
634,shirt,noun,345,シャツ,,
635,pants,noun,345,ズボン,,
636,skirt,noun,346,スカート,,
637,dress,noun,346,ドレス,ワンピース,
638,coat,noun,347,コート,,
639,jacket,noun,347,ジャケット,,
640,sweater,noun,348,セーター,,
641,hat,noun,348,帽子,,
642,cap,noun,349,帽子,,
643,shoes,noun,349,靴,,
644,socks,noun,350,靴下,,
645,glove,noun,350,手袋,,
646,belt,noun,351,ベルト,,
647,pocket,noun,352,ポケット,,
648,button,noun,352,ボタン,,
649,size,noun,353,大きさ,サイズ,
650,shape,noun,353,形,,
651,circle,noun,354,円,,
652,triangle,noun,354,三角形,,
653,corner,noun,355,角,隅,
654,edge,noun,355,端,縁,
655,top,noun,356,頂上,トップ,
656,bottom,noun,356,底,,
657,side,noun,357,側,面,
658,front,noun,358,前,正面,
659,center,noun,358,中心,センター,
660,middle,noun,359,真ん中,,
661,inside,noun,359,内側,内部,
662,outside,noun,360,外側,外部,
663,surface,noun,360,表面,,
664,space,noun,361,空間,宇宙,
665,distance,noun,361,距離,,
666,direction,noun,362,方向,,
667,north,noun,362,北,,
668,south,noun,363,南,,
669,east,noun,363,東,,
670,west,noun,364,西,,
671,left,noun,365,左,,
672,nation,noun,365,国家,国民,
673,town,noun,366,町,,
674,village,noun,366,村,,
675,capital,noun,367,首都,資本,
676,population,noun,367,人口,,
677,citizen,noun,368,市民,国民,
678,people,noun,368,人々,,
679,society,noun,369,社会,,
680,community,noun,369,地域社会,共同体,
681,culture,noun,370,文化,,
682,custom,noun,371,習慣,慣習,
683,tradition,noun,371,伝統,,
684,religion,noun,372,宗教,,
685,god,noun,372,神,,
686,church,noun,373,教会,,
687,temple,noun,373,寺,神殿,
688,festival,noun,374,祭り,,
689,ceremony,noun,374,式,儀式,
690,wedding,noun,375,結婚式,,
691,marriage,noun,375,結婚,,
692,husband,noun,376,夫,,
693,wife,noun,376,妻,,
694,parent,noun,377,親,,
695,son,noun,378,息子,,
696,daughter,noun,378,娘,,
697,brother,noun,379,兄弟,,
698,sister,noun,379,姉妹,,
699,uncle,noun,380,おじ,,
700,aunt,noun,380,おば,,
701,cousin,noun,381,いとこ,,
702,grandfather,noun,381,祖父,,
703,grandmother,noun,382,祖母,,
704,baby,noun,382,赤ちゃん,,
705,boy,noun,383,少年,男の子,
706,girl,noun,384,少女,女の子,
707,kid,noun,384,子供,,
708,teenager,noun,385,10代の若者,,
709,adult,noun,385,大人,,
710,gentleman,noun,386,紳士,,
711,lady,noun,386,淑女,婦人,
712,king,noun,387,王,,
713,queen,noun,387,女王,,
714,prince,noun,388,王子,,
715,princess,noun,388,王女,,
716,president,noun,389,大統領,社長,
717,minister,noun,389,大臣,牧師,
718,leader,noun,390,指導者,リーダー,
719,boss,noun,391,上司,,
720,manager,noun,391,支配人,マネージャー,
721,officer,noun,392,役人,士官,
722,police,noun,392,警察,,
723,soldier,noun,393,兵士,,
724,guard,noun,393,警備員,守衛,
725,judge,noun,394,裁判官,,
726,lawyer,noun,394,弁護士,,
727,engineer,noun,395,技術者,,
728,scientist,noun,395,科学者,,
729,artist,noun,396,芸術家,,
730,musician,noun,397,音楽家,,
731,singer,noun,397,歌手,,
732,dancer,noun,398,ダンサー,,
733,actor,noun,398,俳優,,
734,actress,noun,399,女優,,
735,writer,noun,399,作家,著者,
736,poet,noun,400,詩人,,
737,painter,noun,400,画家,,
738,photographer,noun,401,写真家,,
739,chef,noun,401,シェフ,,
740,waiter,noun,402,ウェイター,,
741,customer,noun,402,客,顧客,
742,guest,noun,403,客,ゲスト,
743,visitor,noun,404,訪問者,,
744,neighbor,noun,404,隣人,,
745,stranger,noun,405,見知らぬ人,,
746,enemy,noun,405,敵,,
747,owner,noun,406,所有者,,
748,partner,noun,406,パートナー,相棒,
749,couple,noun,407,カップル,夫婦,
750,team,noun,407,チーム,,
751,club,noun,408,クラブ,,
752,organization,noun,408,組織,団体,
753,office,noun,409,事務所,オフィス,
754,bank,noun,410,銀行,,
755,store,noun,410,店,,
756,shop,noun,411,店,,
757,market,noun,411,市場,,
758,restaurant,noun,412,レストラン,,
759,hotel,noun,412,ホテル,,
760,airport,noun,413,空港,,
761,station,noun,413,駅,,
762,bus,noun,414,バス,,
763,train,noun,414,電車,列車,
764,taxi,noun,415,タクシー,,
765,truck,noun,415,トラック,,
766,ship,noun,416,船,,
767,boat,noun,417,ボート,船,
768,airplane,noun,417,飛行機,,
769,plane,noun,418,飛行機,,
770,bicycle,noun,418,自転車,,
771,bike,noun,419,自転車,バイク,
772,traffic,noun,419,交通,,
773,road,noun,420,道路,,
774,path,noun,420,道,小道,
775,bridge,noun,421,橋,,
776,building,noun,421,建物,,
777,tower,noun,422,塔,,
778,castle,noun,423,城,,
779,palace,noun,423,宮殿,,
780,museum,noun,424,博物館,,
781,library,noun,424,図書館,,
782,theater,noun,425,劇場,,
783,cinema,noun,425,映画館,,
784,stadium,noun,426,スタジアム,,
785,park,noun,426,公園,,
786,zoo,noun,427,動物園,,
787,farm,noun,427,農場,,
788,field,noun,428,野原,畑,分野
789,forest,noun,428,森,,
790,mountain,noun,429,山,,
791,hill,noun,430,丘,,
792,valley,noun,430,谷,,
793,river,noun,431,川,,
794,lake,noun,431,湖,,
795,sea,noun,432,海,,
