word,pattern_number,sentence_en,sentence_ja,choice_1,choice_2,choice_3,choice_4,correct_choice_index,feedback_1,feedback_2,feedback_3,feedback_4,tags,usage_scene,embedding_text
abandon,1,The crew had to <u>abandon</u> the sinking ship immediately.,乗組員は沈没する船をすぐに放棄しなければならなかった。,放棄する,固定する,修理する,引き返す,1,「放棄する」が正解です。abandon は「危険や困難な状況で何かを諦めて去る」という意味で、沈没船という緊急事態に最適です。共通テストや模試では、abandon は「危険だから捨てる」イメージでよく出ます。語源はフランス語の à bandon（自由にする）から来ています。,「固定する」に対応する英語は secure / fasten などで、船を安定させる行為を表します。abandon は船を去ることなので、意味が正反対になり不正解です。,「修理する」に対応する英語は repair / fix などで、船を直す行為を表します。しかし immediately（すぐに）という緊急性から、沈没中の船を修理する時間はないため不自然です。,「引き返す」は英語では return / turn back で、元の場所に戻ることを表します。沈没船からは脱出が必要であり、戻ることはありえないため不正解です。,action;emergency;movement;formal,emergency situation at sea,abandon : The crew had to abandon the sinking ship immediately. / 乗組員は沈没する船をすぐに放棄しなければならなかった。 / 正解: 放棄する / tags: action;emergency;movement;formal / scene: emergency situation at sea
abandon,2,The family decided to <u>abandon</u> their old house in the countryside.,その家族は田舎の古い家を手放すことに決めた。,手放す,修理する,購入する,賃貸する,1,「手放す」が正解です。abandon は「必要がなくなった、または維持できなくなったものを諦めて去る」という意味で、古い家を処分する状況に適しています。入試では「見捨てる」「放棄する」という訳で頻出し、give up よりも「完全に離れる」ニュアンスが強い点に注意しましょう。,「修理する」は英語では repair / fix で、建物を直す行為を表します。abandon は逆に「離れる・捨てる」という意味なので不正解です。,「購入する」は英語では buy / purchase で、所有権を得る行為を表します。abandon は所有を手放す行為なので真逆になります。,「賃貸する」は英語では rent (out) で、他人に貸す行為を表します。abandon は完全に手放すことを意味するため、貸すという選択肢とは異なります。,daily_life,action,decision,formal,family discussion about property,abandon : The family decided to abandon their old house in the countryside. / その家族は田舎の古い家を手放すことに決めた。 / 正解: 手放す / tags: daily_life,action,decision,formal / scene: family discussion about property
abandoned,3,The <u>abandoned</u> puppy was found shivering in the cold rain.,その捨てられた子犬は冷たい雨の中で震えているところを発見された。,捨てられた,迷子の,野生の,飼われている,1,「捨てられた」が正解です。abandoned は動物に対して「飼い主に捨てられた」という意味で使われ、shivering in the cold rain（冷たい雨の中で震えている）という悲惨な状況と合致します。感情を喚起する描写でよく使われ、動物保護の文脈で頻出の表現です。,「迷子の」は英語では lost / stray で、道に迷った状態を表します。abandoned は「意図的に捨てられた」ことを強調するため、ニュアンスが異なります。lost は accidentally separated、abandoned は intentionally deserted を示します。,「野生の」は英語では wild で、もともと人間に飼われていない動物を表します。abandoned は「元は飼われていたが捨てられた」ことを示すため不正解です。wild は never domesticated、abandoned は once domesticated but deserted です。,「飼われている」は英語では owned / domesticated で、現在も人間に世話されている状態を表します。abandoned は逆に「捨てられた」ことを意味するため矛盾します。owned は currently cared for、abandoned は no longer cared for を表します。,emotion_negative,daily_life,physical,concrete,animal rescue story,abandoned : The abandoned puppy was found shivering in the cold rain. / その捨てられた子犬は冷たい雨の中で震えているところを発見された。 / 正解: 捨てられた / tags: emotion_negative,daily_life,physical,concrete / scene: animal rescue story
abandoned,4,The <u>abandoned</u> mine shaft posed a serious danger to hikers.,その廃坑はハイカーにとって深刻な危険をもたらした。,廃坑,新しい鉱山,観光地,避難所,1,「廃坑」が正解です。abandoned mine shaft は「放棄された鉱山の立坑」という意味で、posed a danger（危険をもたらした）という文脈と論理的につながります。地理・安全の話題で頻出で、old industrial sites の危険性を示す典型的な表現です。,「新しい鉱山」は英語では new mine で、最近開発された採掘場を表します。abandoned は「使われなくなった」ことを意味するため真逆です。new は recently opened、abandoned は long closed を示します。,「観光地」は英語では tourist spot / attraction で、人が訪れる場所を表します。abandoned は「人がいない」ことを示し、posed a danger（危険だった）という文脈と合いません。tourist spot は safe destination、abandoned mine は hazardous site です。,「避難所」は英語では shelter / refuge で、安全を求めて逃げ込む場所を表します。posed a serious danger（深刻な危険）という文脈と矛盾します。shelter は place of safety、abandoned mine shaft は source of danger を表します。,physical,danger,environment,concrete,hiking safety warning,abandoned : The abandoned mine shaft posed a serious danger to hikers. / その廃坑はハイカーにとって深刻な危険をもたらした。 / 正解: 廃坑 / tags: physical,danger,environment,concrete / scene: hiking safety warning
abandoned,5,The <u>abandoned</u> shopping mall has become a popular filming location.,その廃モールは人気の撮影場所になっている。,廃モール,新規オープンしたモール,賑わっているモール,改装中のモール,1,「廃モール」が正解です。abandoned shopping mall は「営業をやめた商業施設」を指し、has become a filming location（撮影場所になった）という転用の文脈と合致します。都市の変化を表す表現で、dead mall という類似表現もあります。現代の都市問題を示す重要な語彙です。,「新規オープンしたモール」は英語では newly opened mall で、最近営業を始めた状態を表します。abandoned は「閉鎖された」ことを意味するため真逆です。newly opened は just started business、abandoned は ceased business を示します。,「賑わっているモール」は英語では bustling / crowded mall で、多くの人で活気がある状態を表します。abandoned は「人がいない」ことを示すため不正解です。bustling は full of activity、abandoned は devoid of activity を表します。,「改装中のモール」は英語では mall under renovation で、現在工事が行われている状態を表します。abandoned は「放置されている」ことを意味するため、改装とは異なります。under renovation は active improvement、abandoned は neglect を示します。,urban,culture,transformation,concrete,discussion about urban decay and reuse,abandoned : The abandoned shopping mall has become a popular filming location. / その廃モールは人気の撮影場所になっている。 / 正解: 廃モール / tags: urban,culture,transformation,concrete / scene: discussion about urban decay and reuse
abandoned,6,She felt like an <u>abandoned</u> child when her parents divorced.,彼女は両親が離婚したとき、見捨てられた子どものように感じた。,見捨てられた,愛された,独立した,幸せな,1,「見捨てられた」が正解です。abandoned child は「親に捨てられた子」という意味で、離婚という家庭環境の変化による心理的な孤独感を表現しています。感情描写として重要な用法で、psychological impact を示す典型的な表現です。felt like という比喩表現との組み合わせに注目しましょう。,「愛された」は英語では loved / cherished で、大切にされた状態を表します。abandoned は逆に「見捨てられた」ことを意味するため不正解です。loved は cared for、abandoned は neglected を示します。,「独立した」は英語では independent で、自立している状態を表します。abandoned は「支えを失った」というネガティブな意味なので、ニュアンスが異なります。independent は self-sufficient (positive)、abandoned は unsupported (negative) を表します。,「幸せな」は英語では happy / joyful で、喜びを感じる状態を表します。when her parents divorced（両親が離婚したとき）という文脈ではネガティブな感情が自然です。happy は positive emotion、文脈は negative situation を示します。,emotion_negative,relationship,mental,abstract,psychological description of family trauma,abandoned : She felt like an abandoned child when her parents divorced. / 彼女は両親が離婚したとき、見捨てられた子どものように感じた。 / 正解: 見捨てられた / tags: emotion_negative,relationship,mental,abstract / scene: psychological description of family trauma
abandoned,7,The <u>abandoned</u> car park was overgrown with weeds and bushes.,その廃駐車場は雑草や低木に覆われていた。,廃駐車場,新設の駐車場,満車の駐車場,地下駐車場,1,「廃駐車場」が正解です。abandoned car park は「使われなくなった駐車場」を指し、was overgrown with weeds（雑草に覆われていた）という荒廃の描写と論理的につながります。都市の decay を示す典型的な visual description で、時間の経過と neglect を表現しています。,「新設の駐車場」は英語では newly built car park で、最近建設された状態を表します。overgrown with weeds（雑草だらけ）という文脈と矛盾します。newly built は recent construction、overgrown は long neglect を示唆します。,「満車の駐車場」は英語では full / occupied car park で、車でいっぱいの状態を表します。abandoned は「使われていない」ことを意味するため不正解です。full は in active use、abandoned は not in use を表します。,「地下駐車場」は英語では underground car park で、地面の下にある場所を表します。abandoned は「放棄された」という使用状態を示すため、地下かどうかとは無関係です。underground は location、abandoned は condition を表します。,urban,physical,concrete,environment,description of urban decay,abandoned : The abandoned car park was overgrown with weeds and bushes. / その廃駐車場は雑草や低木に覆われていた。 / 正解: 廃駐車場 / tags: urban,physical,concrete,environment / scene: description of urban decay
abandoned,8,The ship discovered an <u>abandoned</u> lifeboat drifting in the ocean.,その船は海を漂っている無人の救命ボートを発見した。,無人の,新品の,損傷した,赤い,1,「無人の」が正解です。abandoned lifeboat は「人がいなくなった救命ボート」を意味し、drifting in the ocean（海を漂っている）という不気味な状況を表現しています。ミステリー的な文脈でよく使われ、something wrong happened という暗示を与える効果的な描写です。,「新品の」は英語では new / brand-new で、未使用の状態を表します。abandoned は「使用後に放棄された」ことを意味するため矛盾します。brand-new は unused、abandoned は used and deserted を示します。,「損傷した」は英語では damaged / broken で、壊れた状態を表します。abandoned は「人がいない」ことを示すため、損傷の有無とは別の概念です。damaged は physical condition、abandoned は occupancy status を表します。,「赤い」は英語では red で、色を示す形容詞です。abandoned は使用状態を表すため、色とは無関係です。red は color、abandoned は state of desertion を表します。,maritime,mystery,physical,concrete,maritime mystery or rescue operation,abandoned : The ship discovered an abandoned lifeboat drifting in the ocean. / その船は海を漂っている無人の救命ボートを発見した。 / 正解: 無人の / tags: maritime,mystery,physical,concrete / scene: maritime mystery or rescue operation
abandoned,9,The <u>abandoned</u> farmhouse still contained old furniture and photographs.,その廃農家にはまだ古い家具や写真が残っていた。,廃農家,新築の農家,賃貸中の農家,豪華な農家,1,「廃農家」が正解です。abandoned farmhouse は「人が住まなくなった農家」を指し、still contained old furniture（まだ古い家具が残っていた）という時間の経過を示す描写と合致します。rural decline を表す表現で、still という副詞が「放置されたまま」のニュアンスを強調しています。,「新築の農家」は英語では newly built farmhouse で、最近建てられた状態を表します。old furniture（古い家具）という描写と矛盾します。newly built は recent construction、old furniture は long-term neglect を示唆します。,「賃貸中の農家」は英語では rented / leased farmhouse で、現在誰かが借りている状態を表します。abandoned は「誰も住んでいない」ことを意味するため不正解です。rented は currently occupied、abandoned は unoccupied を表します。,「豪華な農家」は英語では luxurious / grand farmhouse で、立派で高級な状態を表します。abandoned は「放置された」という荒廃を示すため、ニュアンスが合いません。luxurious は well-maintained、abandoned は neglected を暗示します。,rural,physical,concrete,time,exploration of rural abandoned property,abandoned : The abandoned farmhouse still contained old furniture and photographs. / その廃農家にはまだ古い家具や写真が残っていた。 / 正解: 廃農家 / tags: rural,physical,concrete,time / scene: exploration of rural abandoned property
abandoned,10,The government plans to renovate several <u>abandoned</u> buildings in the city center.,政府は市街地のいくつかの廃ビルを改修する計画だ。,廃ビル,新築ビル,高層ビル,商業ビル,1,「廃ビル」が正解です。abandoned buildings は「使われなくなった建物」を指し、plans to renovate（改修する計画）という再生の文脈と論理的につながります。都市計画の話題で頻出の表現で、urban renewal / revitalization の文脈で重要な語彙です。政策文書でよく見られます。,「新築ビル」は英語では new buildings で、最近建設された建物を表します。renovate（改修する）は既存の建物に対して使うため、新築とは矛盾します。renovate は restore existing、new は construct fresh を意味します。,「高層ビル」は英語では high-rise buildings で、階数が多い建物を表します。abandoned は使用状態を示すため、高さとは無関係です。high-rise は height、abandoned は occupancy status を表します。,「商業ビル」は英語では commercial buildings で、ビジネス用途の建物を表します。abandoned は使用の有無を示すため、用途とは別の概念です。commercial は purpose、abandoned は state of use を表します。,urban,politics,transformation,concrete,news about urban redevelopment plan,abandoned : The government plans to renovate several abandoned buildings in the city center. / 政府は市街地のいくつかの廃ビルを改修する計画だ。 / 正解: 廃ビル / tags: urban,politics,transformation,concrete / scene: news about urban redevelopment plan
abandonment,1,Her sense of <u>abandonment</u> in childhood affected her relationships.,子どもの頃に見捨てられたという感覚が、彼女の人間関係に影響を与えた。,見捨てられたという感覚,達成感,安心感,優越感,1,「見捨てられたという感覚」が正解です。abandonment は「放棄されること、見捨てられること」という意味で、childhood（子ども時代）や affected her relationships（人間関係に影響を与えた）という文脈から、心理的トラウマを表しています。試験では emotional abandonment（感情的な見捨て）のような心理学的文脈でよく出ます。,「達成感」は英語では sense of achievement / accomplishment で、何かを成し遂げた時の満足感を表します。abandonment は逆に「失った・奪われた」感覚なので、ポジティブ・ネガティブの方向が正反対で不正解です。,「安心感」は英語では sense of security / reassurance で、安全で守られている感覚を表します。abandonment は「守られていない、孤独」という感覚なので、意味が正反対になり不正解です。,「優越感」は英語では sense of superiority で、他者より上にいるという感覚を表します。abandonment は「見捨てられた」という劣等感に近い感覚なので、自己評価の方向が逆で不正解です。,emotion_negative;mental;abstract;relationship,psychological discussion about childhood trauma,abandonment : Her sense of abandonment in childhood affected her relationships. / 子どもの頃に見捨てられたという感覚が、彼女の人間関係に影響を与えた。 / 正解: 見捨てられたという感覚 / tags: emotion_negative;mental;abstract;relationship / scene: psychological discussion about childhood trauma
abandonment,2,The child's sense of <u>abandonment</u> affected his emotional development deeply.,その子どもが抱いた見捨てられたという感覚は、彼の感情的な発達に深く影響を与えた。,見捨てられたという感覚,独立心,幸福感,自信,1,「見捨てられたという感覚」が正解です。abandonment は抽象名詞として「放棄されること、見捨てられること」という状態や感覚を表します。sense of abandonment は心理学でよく使われる表現で、affected his emotional development という文脈と合致します。トラウマや愛着障害の研究で頻出の概念です。,「独立心」は英語では independence / self-reliance で、自立する能力を表します。abandonment は「見捨てられた」というネガティブな状態なので、独立心というポジティブな概念とは逆です。independence は positive autonomy、abandonment は negative isolation を示します。,「幸福感」は英語では happiness / sense of well-being で、喜びの感情を表します。abandonment はネガティブな感情なので矛盾します。affected his emotional development という深刻な文脈とも合いません。,「自信」は英語では confidence / self-assurance で、自分を信じる気持ちを表します。abandonment は「捨てられた」という喪失感なので、自信とは真逆の概念です。confidence は self-belief、abandonment は self-doubt を生みます。,emotion_negative,mental,abstract,psychology,psychological discussion about childhood trauma,abandonment : The child's sense of abandonment affected his emotional development deeply. / その子どもが抱いた見捨てられたという感覚は、彼の感情的な発達に深く影響を与えた。 / 正解: 見捨てられたという感覚 / tags: emotion_negative,mental,abstract,psychology / scene: psychological discussion about childhood trauma
abandonment,3,The <u>abandonment</u> of the mining town happened gradually over several decades.,その鉱山町の放棄は、数十年にわたって徐々に進行した。,放棄,建設,発展,保護,1,「放棄」が正解です。abandonment は「場所や計画を捨てて去ること」という行為や過程を表します。happened gradually over several decades という長期的なプロセスの描写と合致し、ghost town 化を示す典型的な表現です。社会変化の歴史的記述で重要な語彙です。,「建設」は英語では construction / building で、新たに作る行為を表します。abandonment は逆に「捨てる・去る」ことなので真逆です。construction は creation、abandonment は desertion を表します。,「発展」は英語では development / growth で、成長・繁栄する過程を表します。abandonment は衰退を意味するため矛盾します。development は progress、abandonment は decline を示します。,「保護」は英語では protection / preservation で、守り維持する行為を表します。abandonment は逆に「放置・見捨てる」ことなので不正解です。protection は maintenance、abandonment は neglect を表します。,social,geography,time,formal,historical description of urban decline,abandonment : The abandonment of the mining town happened gradually over several decades. / その鉱山町の放棄は、数十年にわたって徐々に進行した。 / 正解: 放棄 / tags: social,geography,time,formal / scene: historical description of urban decline
abandonment,4,The company faced severe penalties for the illegal <u>abandonment</u> of toxic waste.,その会社は、有毒廃棄物の不法投棄に対して厳しい罰則に直面した。,不法投棄,適切な処理,リサイクル,保管,1,「不法投棄」が正解です。abandonment of toxic waste は「有毒廃棄物を不適切に放置すること」を意味し、illegal という形容詞と組み合わせて「不法投棄」という環境犯罪を表現します。環境法の文脈で重要な用語で、ニュース英語で頻出です。,「適切な処理」は英語では proper disposal / treatment で、正しい方法で廃棄物を扱うことを表します。illegal abandonment は逆に「不適切な放置」なので矛盾します。proper disposal は legal、illegal abandonment は criminal です。,「リサイクル」は英語では recycling で、廃棄物を再利用することを表します。abandonment は「放置」なので、recycling という積極的な処理とは異なります。recycling は reuse、abandonment は discard を意味します。,「保管」は英語では storage で、安全に保つことを表します。abandonment は「無責任に放置」することなので、きちんと保管することとは逆です。storage は controlled、abandonment は uncontrolled を示します。,law,environment,formal,action,news about environmental crime,abandonment : The company faced severe penalties for the illegal abandonment of toxic waste. / その会社は、有毒廃棄物の不法投棄に対して厳しい罰則に直面した。 / 正解: 不法投棄 / tags: law,environment,formal,action / scene: news about environmental crime
